age,income_pctl
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
18,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
19,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
20,0.125
